1,24.3,40.3,2022,5,3,0,15,14,25,0
2,24.2,40.1,2022,5,3,0,15,14,29,0
3,24.3,40.2,2022,5,3,0,15,14,31,0
4,24.2,40.2,2022,5,3,0,15,14,32,0
5,24.3,40.1,2022,5,3,0,15,14,34,0
6,None,None,None
7,24.3,40.1,None
8,24.2,40.0,None
9,24.3,40.0,None
10,24.3,40.2,2022,5,3,0,15,14,44,0
11,24.2,40.5,None
12,24.3,39.9,2022,5,3,0,15,14,45,0
13,24.3,40.6,2022,5,3,0,15,14,47,0
14,24.3,40.0,2022,5,3,0,15,14,48,0
15,24.3,40.2,2022,5,3,0,15,14,49,0
16,None,None,2022,5,3,0,15,14,51,0
17,None,None,2022,5,3,0,15,14,52,0
18,None,None,2022,5,3,0,15,14,53,0
19,None,None,None
20,None,None,None
21,None,None,None
22,None,None,None
23,24.3,40.0,2022,5,3,0,15,15,9,0
24,24.3,40.0,2022,5,3,0,15,15,10,0
25,24.3,40.0,2022,5,3,0,15,15,10,0
